2510月コンテ_Long(1031)	【二十歳のお祝い】プレゼント選びの参考に！新生活や大学生活+新社会人でも使える万能なおすすめ腕時計を紹介！	採用:新社会人	成人や新生活を迎える節目に、自分や家族への記念として「生まれ年の時計」を提案。年代の味わいと実用性を兼ね備えたモデルを紹介し、大学生活から社会人まで長く使える一本を選ぶ参考情報として訴求する。	7
2511月コンテ_Long(117)	【希少価値上昇中】綺麗な個体が激減中…美品が市場から消えつつある今チェックすべきヴィンテージ時計	採用:ヴィンテージ	近年コンディションの良い個体が急速に減少しているヴィンテージ時計をピックアップ。美品が市場から姿を消しつつある背景や、今注目すべきモデルの傾向を整理し、将来の入手難を見据えた参考情報として紹介する。	6
2510月コンテ_Long(1114)	【穴場ブランド】時計屋さんが密かに注目している“これから化ける”ヴィンテージブランド	採用:ブランド	知名度こそ高くないものの、時計専門店のスタッフが密かに注目する“次に来る”ヴィンテージブランドを特集。デザイン性や機構、当時の背景から見るポテンシャルを分析し、今のうちに知っておきたい隠れた名ブランド	7
2511月コンテ_Long(1117)	【ロレックスデイトジャストを特集】	採用:デイトジャスト	市場でも出回りが少ない希少なカラー文字盤を持つヴィンテージウォッチを厳選紹介。生産数や経年変化による一点物の魅力に焦点を当て、コレクターや上級者が注目する“色の個性”が生む価値と楽しみ方を掘り下げる。	7
2511月コンテ_Long(1118)	ファッションアイコンが火付け役！ほぼ全員が“この人を見て買った”と言われる伝説のモデルx選	採用:Long企画(5行以上)	著名なファッションアイコンが愛用したことで人気に火がついた、伝説的なヴィンテージウォッチを特集。時代を超えて影響を与え続けるスタイルの背景や選ばれた理由を紐解き、ファッションと時計の密接な関係を楽しめ	7
2512月コンテ_Long(121)	【大後悔】あの時買っておけばよかった時計エピソード	採用:後悔	当時は相場や希少性の背景を深く理解できず見送ったモデルを振り返り、語り合う企画。 視聴者が自身の検討時に活かせる参考情報として、後悔を防ぐ学びを提供する。	4
261月コンテ_Long(115)	OMEGA歴xx年がOMEGA歴xx年におすすめしたい1本	採用:Long企画(5行以上)		5
261月コンテ_Long(116)	“腕時計を買う時に悩んだ・迷った2択”ありますか？ → あの時、AとBで迷った…。あれからxx年......どっちを買って正解だった？	採用:2択		5
261月コンテ_Long(123)	腕時計を買う時に悩んだ・迷った究極の2択 →持ってないけど、ギリギリまで買うかどうか本当に迷った1本 → あの時、AとBで迷った…。あれからxx年......どっちを買って正解だった？	採用:究極		5
262月コンテ_Long(210)	雲上ブランドの"凄さ"って何なんですか？時計の中身を知り尽くした"時計修理の先生"に聞いてみた！	採用:ブランド	雲上ブランドについて、「高い」「すごい」「別格」と言われがちだけど、 "結局なにがどう凄いのか分からない問題"を、 実際に中身を見続けてきた"時計修理の先生”に真正面から聞くトーク企画。	5
262月コンテ_Long(212)	他のモデルはピンとこないけど、「これだけは良い！」と思ったモデル/ブランド	採用:ブランド	あまり手に取ることがないブランドにも関わらず、ピンポイントで琴線に触れたモデルについて深掘り/トークする企画。 出演者の趣向の偏りの面白さと、そのモデルが持つ特徴やブランドからはみ出ているポイントを語	5
262月コンテ_Long(220)	他人が着けてるとカッコイイのに自分が着けるとなんかイマイチな時計	採用:他人	街や店頭、SNSなどで見て「うわ、これカッコいいな」と思ったのに、いざ自分で着けてみると「あれ…思ってたのと違う」となった時計を語るトーク企画。	5
262月コンテ_Long(226)	【カラー文字盤同好会】服に合わない、でも愛おしい...“扱いが難しい色”の時計を語る会	採用:カラー文字盤	一目惚れで買ったものの、いざ日常で使おうとすると「今日の服、これ合う？」と毎回悩ませてくるカラー文字盤の時計を語るトーク企画。 色・ファッション・季節・気分との関係を含めて、“難しいけど好き”という矛	5
262月コンテ_Long(227)	ブランドの序列がひっくり返った伝説の1本	採用:ブランド	一般的には「このブランドは上／こっちは下」「格・知名度・価格帯で見ると明らか」…とされていた序列が、たった1本のモデルによって揺らいだ、もしくは逆転した瞬間を語る企画。 「だから面白い」「だから時計は	5
263月コンテ_Long(313)	ファッションは20~30年で一周する？ 今はまだ評価されていないけど、将来（20年後・30年後に）来るかもしれない1本	採用:Long企画(5行以上)	今の市場ではそこまで話題になっていない。 価格も安定、SNSでもそこまでバズっていない。 でも、普段からたくさんの時計に触れている側からすると「これ、ちょっと違うぞ？」「これは系統的に将来来きそう..	6
263月コンテ_Long(319)	時代が追いついた時計	採用:時代が追いついた	発売当時は「ちょっと早すぎた」「中途半端」「地味」と言われたのに、 今のトレンドや価値観の変化によって 急にしっくり来るようになった1本を語るトーク企画。	6
263月コンテ_Long(326)	ブランドの黒歴史と思われてた名作	採用:ブランド		6
263月コンテ_Long(328)	不遇な時計？発売当時は評価されなかった伝説の1本	採用:不遇		6
