優先度スコア	シート	タイトル	判定理由	意図	本文行数
520	259月コンテ_shorts(904)	ロレックス買うならどっち？	どっち(200)/ブランド名あり		2
520	252月コンテ_shorts(22)	映画に登場した腕時計3選	映画(500)		2
370	2511月コンテ_shorts(1127) 	彼氏につけてほしい時計どっち!?	彼氏(150)/どっち(200)		2
370	2511月コンテ_Long(1117)	【ロレックスデイトジャストを特集】	ブランド名あり	市場でも出回りが少ない希少なカラー文字盤を持つヴィンテージウォッチを厳選紹介。生産数や経年変化による一点物の魅力に焦点を当て、コレクターや上級者が注目する“色の	7
320	259月コンテ_Long(922)	【xx代向け】昇進・昇格したら身につけたい”ビジネスマン向け”ヴィンテージ腕時計x選	昇進(100)/ビジネスマン(150)	昇進・昇格を迎える年代向けに、スーツに映えるヴィンテージ時計を紹介。節目の自己投資としての意義を強調し、ビジネスマン層の共感と購買意欲を高める。	7
320	2512月コンテ_shorts(1225)	男はカルティエNG!?	ブランド名あり		2
320	251月コンテ_shorts(126)	ロレックス買うならこれ気を付けて！	ブランド名あり		2
300	261月コンテ_Long(116)	“腕時計を買う時に悩んだ・迷った2択”ありますか？ → あの時、AとBで迷った…。あれからxx年......どっちを買って正解だった？	2択(50)/どっち(200)		5
300	261月コンテ_Long(123)	腕時計を買う時に悩んだ・迷った究極の2択 →持ってないけど、ギリギリまで買うかどうか本当に迷った1本 → あの時、AとBで迷った…。あれからxx年......どっちを買って正解だった？	2択(50)/どっち(200)		5
220	259月コンテ_shorts(911) 	腕時計買うならどっち？	どっち(200)		2
220	251月コンテ_shorts(15)	新社会人に贈りたい腕時計3選！	新社会人(200)		2
100	264月コンテ_Long(49)	この1本が売り物になるまで｜ヴィンテージ時計の修理・商品化の様子に密着		本社工房の様子が既存視聴者にとって、 よりコアな情報として受け入れられやすいと推測されるため、 実際に仕入れたヴィンテージ時計を、商品化するまでにどのようなこと	10
100	263月コンテ_Long(320BD19)	【密着】ブレイキングダウン19の舞台裏にいってみた			12
90	2510月コンテ_Long(1023)	日本が腕時計中古市場において天国と呼ばれる理由 日本が世界のヴィンテージ腕時計ファンから大絶賛される理由		世界のヴィンテージ時計ファンから日本が高く評価される要因を解説。 豊富な在庫や保存状態の良さ、取引の安心感といった特徴を語り、日本でヴィンテージ腕時計を買えるこ	9
90	2512月コンテ_Long(1214)	【密着】ブレイキングダウン18の舞台裏にいってみた			9
80	259月コンテ_Long(908) 	【査定エピソード】あなたの腕時計査定します！		既存、新規視聴者も気になる要素として、購入済みもしくは時計を持っている人が何を理由に査定に来るか？ 当初の予測していた金額感と、ファイアーキッズが査定したときの	8
80	261月コンテ_Long(122)	（藤井さま回）【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました		ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。	8
80	261月コンテ_Long(130)	（木村さま回）【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました		ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。	8
80	262月コンテ_Long(216)	（松井さま回）【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました		ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。	8
70	2512月コンテ_shorts(1211)	腕時計で究極の2択！	2択(50)		2
70	251月コンテ_shorts(122)	ノンバーバル			7
70	2510月コンテ_Long(1017)	え？これROLEXなの！？2選 ROLEXっぽくない...だけど良い...。さりげなく忍ばせてキラリと光る、変わりダネROLEX紹介		一般的なイメージから外れた意外性のあるロレックスモデルを紹介し、その独自の魅力や評価される理由を解説。派手さを避けつつ個性を楽しみたい人に向け、さりげなく光る選	7
70	2510月コンテ_Long(1021)	あなたはどのブランドの哲学が好み？見た目ではなく中身から入る腕時計選び		腕時計をデザイン重視ではなく、ブランドが掲げる哲学やものづくりの思想から選ぶ視点を提案。背景にある価値観を知ることで、所有する意義や共感度が高まり、より納得感あ	7
70	2510月コンテ_Long(1114)	【穴場ブランド】時計屋さんが密かに注目している“これから化ける”ヴィンテージブランド		知名度こそ高くないものの、時計専門店のスタッフが密かに注目する“次に来る”ヴィンテージブランドを特集。デザイン性や機構、当時の背景から見るポテンシャルを分析し、	7
70	2511月コンテ_Long(1118)	ファッションアイコンが火付け役！ほぼ全員が“この人を見て買った”と言われる伝説のモデルx選		著名なファッションアイコンが愛用したことで人気に火がついた、伝説的なヴィンテージウォッチを特集。時代を超えて影響を与え続けるスタイルの背景や選ばれた理由を紐解き	7
70	2511月コンテ_Long(1128)	【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました		ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。	7
70	2512月コンテ_Long(1219)	（小倉さま回）【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました		ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。	7
70	261月コンテ_Long(19)	（西川さま回）【時計遍歴】私はこうしてヴィンテージ時計沼にハマりました		ヴィンテージ時計にハマったキッカケを語っていただき、ヴィンテージ時計好き視聴者からあるある/共感を呼び起こしエンゲージUPを目指す。	7
60	2511月コンテ_Long(117)	【希少価値上昇中】綺麗な個体が激減中…美品が市場から消えつつある今チェックすべきヴィンテージ時計		近年コンディションの良い個体が急速に減少しているヴィンテージ時計をピックアップ。美品が市場から姿を消しつつある背景や、今注目すべきモデルの傾向を整理し、将来の入	6
60	2512月コンテ_Long(129)	（芦野さま回）原点にして頂点？値段じゃない！ヴィンテージ好きが最後まで持っておきたい1本		高額さではなく“愛着と存在感”で選ばれる一本を紹介。所有者の共感を呼び、長く使う魅力や文化的価値を伝えることで、時計趣味の本質を深掘りする企画とする。	6
60	2512月コンテ_Long(1210)	【密着】ブルーサンタクロースの舞台裏にいってみた			6
60	2512月コンテ_Long(1218)	（新海さま回）原点にして頂点？値段じゃない！ヴィンテージ好きが最後まで持っておきたい1本		高額さではなく“愛着と存在感”で選ばれる一本を紹介。所有者の共感を呼び、長く使う魅力や文化的価値を伝えることで、時計趣味の本質を深掘りする企画とする。	6
60	263月コンテ_Long(313)	ファッションは20~30年で一周する？ 今はまだ評価されていないけど、将来（20年後・30年後に）来るかもしれない1本		今の市場ではそこまで話題になっていない。 価格も安定、SNSでもそこまでバズっていない。 でも、普段からたくさんの時計に触れている側からすると「これ、ちょっと違	6
60	263月コンテ_Long(319)	時代が追いついた時計		発売当時は「ちょっと早すぎた」「中途半端」「地味」と言われたのに、 今のトレンドや価値観の変化によって 急にしっくり来るようになった1本を語るトーク企画。	6
60	263月コンテ_Long(326)	ブランドの黒歴史と思われてた名作			6
60	263月コンテ_Long(326)後ほど使用	ブランドの黒歴史と思われてた名作			6
60	263月コンテ_Long(328)	不遇な時計？発売当時は評価されなかった伝説の1本			6
50	2510月コンテ_Long(1025)	FIRE KIDS30周年記念イベント@中野店（イベントの様子紹介）			5
50	261月コンテ_Long(115)	OMEGA歴xx年がOMEGA歴xx年におすすめしたい1本			5
50	262月コンテ_Long(210)	雲上ブランドの"凄さ"って何なんですか？時計の中身を知り尽くした"時計修理の先生"に聞いてみた！		雲上ブランドについて、「高い」「すごい」「別格」と言われがちだけど、 "結局なにがどう凄いのか分からない問題"を、 実際に中身を見続けてきた"時計修理の先生”に	5
50	262月コンテ_Long(212)	他のモデルはピンとこないけど、「これだけは良い！」と思ったモデル/ブランド		あまり手に取ることがないブランドにも関わらず、ピンポイントで琴線に触れたモデルについて深掘り/トークする企画。 出演者の趣向の偏りの面白さと、そのモデルが持つ特	5
50	262月コンテ_Long(220)	他人が着けてるとカッコイイのに自分が着けるとなんかイマイチな時計		街や店頭、SNSなどで見て「うわ、これカッコいいな」と思ったのに、いざ自分で着けてみると「あれ…思ってたのと違う」となった時計を語るトーク企画。	5
50	262月コンテ_Long(226)	【カラー文字盤同好会】服に合わない、でも愛おしい...“扱いが難しい色”の時計を語る会		一目惚れで買ったものの、いざ日常で使おうとすると「今日の服、これ合う？」と毎回悩ませてくるカラー文字盤の時計を語るトーク企画。 色・ファッション・季節・気分との	5
50	262月コンテ_Long(227)	ブランドの序列がひっくり返った伝説の1本		一般的には「このブランドは上／こっちは下」「格・知名度・価格帯で見ると明らか」…とされていた序列が、たった1本のモデルによって揺らいだ、もしくは逆転した瞬間を語	5
50	26305月コンテ_イベントレポ(305)	中野ブロードウェイ店リニューアル・プレオーブンイベントレポ			5
40	2511月コンテ_Long(1127)	*蒸留所コンテンツ			4
40	2512月コンテ_Long(1226)	怪しい"野良時計"の失敗エピソード 時計購入で失敗した話			4
20	259月コンテ_shorts(923)	今後値段が上がるかもしれない時計3選			2
20	259月コンテ_shorts(102)	低予算で買えるヴィンテージ時計ありますか!?			2
20	259月コンテ_shorts(109)	愛用してるなら答えられるよね？			2
20	2510月コンテ_shorts(1016)	キムタクになれる腕時計！？			2
20	2510月コンテ_shorts(1027) 	アンティーク時計アキネイター			2
20	2511月コンテ_shorts(116) 	壊れた時計…さすがに買い取れない？			2
20	2511月コンテ_shorts(1113)	菅田将暉さんになる方法!?【ヴィンテージ時計】			2
20	2511月コンテ_shorts(1120)	時計買うなら横浜来てください！			2
20	251月コンテ_shorts(112)	腕時計ロゴクイズ！			2
20	(※出演者用)251月コンテ_shorts(112)	カタカナ使わず時計ブランドを伝えて！			2
20	251月コンテ_shorts(116) ノベルティ2本	FIRE KIDSのトートバッグが貰えるキャンペーン！			2
20	251月コンテ_shorts(119)	目隠しして腕時計を当てろ！			2
20	252月コンテ_shorts(29)※3本分台本ストックあり	【年代別】このSEIKOは絶対持ちたい！			2
20	252月コンテ_shorts(217)	【破格】〇〇円でヴィンテージ時計が買えた…！			2
20	252月コンテ_shorts(223)	好きな腕時計ブランドトーナメント！			2
20	253月コンテ_shorts(32)	【年代別】このSEIKOは絶対持ちたい！			2
20	253月コンテ_shorts(310)	スマホあるのに腕時計いります！？			2
20	253月-コンテ_shorts(江頭さんコラボ)	【緊急】江頭2:50がファイアーキッズにご来店！			2
20	253月コンテ_shorts(316)	制裁を受けた理由がヤバすぎた…【腕時計】			2
20	254月コンテ_shorts(414)	時計マニアの絶望シーン3選			2
10	2512月コンテ_shorts(124)	人生で一本しか時計が持てないとしたら？			1
0	26305月コンテ_イベント台本(305)	【第三部】ヴィンテージ時計の深淵を覗く！ディープな時計の世界トークセッション			0
0	263月コンテ_宮迫さん&青木さんコラボ(330)	【宮迫さんガチ推し】中野店の世界観を徹底レビュー！青木さん見解は？			0
0	264月コンテ_入社式(401)	【入社式潜入】スペシャルゲストも激励！FIREKIDSの新たなメンバーが登場。			0
