低PV_URL,低PV_タイトル,PV,統合先slug,統合先ブランド,統合先タイトル,共通KW,タイトル類似度,スコア
https://m.firekids.jp/00/1765/,2023年度版 グランドセイコー 人気ランキング｜国内メンズ時計,31,435_article_gs_popular,SEIKO,﻿# グランドセイコーの人気モデルは？ヴィンテージから選ぶなら,セイコー/グランドセイコー,0.38,2
https://m.firekids.jp/00/250/,購入して間違いのないスポーツウォッチ、オメガ「スピードマスター」,42,264_article_speedmaster_tropical,OMEGA,オメガ スピードマスター トロピカルダイヤル 実例と価値,オメガ/スピードマスター,0.37,2
https://m.firekids.jp/00/5992/,現代のオメガ・シーマスターはダニエル・クレイグボンドとのコラボでさらなる人気を獲得している,65,231_article_seamaster_prebond,OMEGA,オメガ シーマスター プレボンド｜1980年代ジェンタデザインの魅力を解説,オメガ/シーマスター,0.37,2
https://m.firekids.jp/00/2294/,中西哲生が、愛用するヴィンテージロレックス、そしてIWCについて語る,66,424_article_vintage_rolex_caution,ROLEX,﻿# ヴィンテージロレックスで失敗しないために。買う前に知っておくべきこと,ロレックス/ヴィンテージロレックス,0.37,2
https://m.firekids.jp/00/6128/,予算30〜50万円。冬のボーナスで狙いたいロレックスなどおすすめヴィンテージ腕時計3選,18,396_article_vintage_first,ROLEX,ロレックス ヴィンテージ入門｜最初の1本の選び方,ヴィンテージ/ロレックス,0.36,2
https://m.firekids.jp/00/7201/,王道ブランドが並ぶ、夏に着けたい“旬”のヴィンテージ時計3選,68,447_article_japanese_brands,THEME,世界に愛される日本の腕時計ブランド5選｜ヴィンテージで知る国産時計の魅力,ブランド/ヴィンテージ,0.36,2
https://m.firekids.jp/00/2992/,ロレックスらしくない？金無垢なのに薄いレア度MAXな『オイスターパーペチュアルデイト』,69,056_article_oysterdate_vs_op,ROLEX,﻿# オイスターデイト vs オイスターパーペチュアルデイト｜ロレックスの似て非なる2モデル,オイスターパーペチュアルデイト/ロレックス,0.36,2
https://m.firekids.jp/00/3413/,定番では終わらない魅力を持つヴィンテージロレックス4選！,38,424_article_vintage_rolex_caution,ROLEX,﻿# ヴィンテージロレックスで失敗しないために。買う前に知っておくべきこと,ロレックス/ヴィンテージロレックス,0.34,2
https://m.firekids.jp/00/2548/,ユニバーサル ジュネーブ『トリコンパックス』のようなメカっぽくスポーティなモデルが欲しい～古着YouTuberゆーみん＆きうてぃ、きうてぃ編,44,343_article_ug_compax,UNIVERSAL,ユニバーサル・ジュネーブ コンパックス Cal.287 解説,ジュネーブ/ユニバーサル,0.34,2
https://m.firekids.jp/00/6910/,大学生のためのヴィンテージ時計入門：初めての一本を選ぶポイント,66,451_article_caseback_engraving,THEME,ヴィンテージ時計 裏蓋の刻印ガイド｜リファレンス・シリアル・素材から読み解く5つのポイント,ヴィンテージ/ポイント,0.34,2
https://m.firekids.jp/00/3290/,【ロレックス】レディース時計の魅力的な価値と人気モデルを紹介,80,469_article_rolex_ladies,ROLEX,ヴィンテージ ロレックスのレディース、定番から珍しい1本まで,レディース/ロレックス,0.33,2
https://m.firekids.jp/00/2975/,【オメガ】レイルマスター、鉄道好きも魅了するその魅力とは？,22,226_article_railmaster,OMEGA,﻿# オメガ レイルマスター CK2914 1950年代耐磁時計解説,レイルマスター/オメガ,0.32,2
https://m.firekids.jp/00/955/,10年という短期間で、最高水準まで高められた『グランドセイコー』。60年代モデルは間違いなく名機である,38,435_article_gs_popular,SEIKO,﻿# グランドセイコーの人気モデルは？ヴィンテージから選ぶなら,セイコー/グランドセイコー,0.32,2
https://m.firekids.jp/00/208/,腕時計のメンテナンスの基本 オーバーホールはなぜ必要？,54,087_article_overhaul_guide,THEME,﻿# 手元のヴィンテージ時計、オーバーホールはいつすべき？｜メンテナンスの基本知識,オーバーホール/メンテナンス,0.32,2
https://m.firekids.jp/dsc00043/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,2,237_article_deville_vintage,OMEGA,オメガ デ・ヴィル解説｜シーマスター デ・ヴィルから独立コレクションへの変遷,オメガ/シーマスター,0.31,2
https://m.firekids.jp/00/6144/dsc00045/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,3,237_article_deville_vintage,OMEGA,オメガ デ・ヴィル解説｜シーマスター デ・ヴィルから独立コレクションへの変遷,オメガ/シーマスター,0.31,2
https://m.firekids.jp/dsc00065/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,4,237_article_deville_vintage,OMEGA,オメガ デ・ヴィル解説｜シーマスター デ・ヴィルから独立コレクションへの変遷,オメガ/シーマスター,0.31,2
https://m.firekids.jp/dsc00082/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,4,237_article_deville_vintage,OMEGA,オメガ デ・ヴィル解説｜シーマスター デ・ヴィルから独立コレクションへの変遷,オメガ/シーマスター,0.31,2
https://m.firekids.jp/00/6144/dsc00028/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,4,237_article_deville_vintage,OMEGA,オメガ デ・ヴィル解説｜シーマスター デ・ヴィルから独立コレクションへの変遷,オメガ/シーマスター,0.31,2
https://m.firekids.jp/dsc00076/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から,4,237_article_deville_vintage,OMEGA,オメガ デ・ヴィル解説｜シーマスター デ・ヴィルから独立コレクションへの変遷,オメガ/シーマスター,0.31,2
https://m.firekids.jp/00/6838/,【ロレックス】歴代エアキングからおすすめのモデルを紹介,45,367_article_air_king,ROLEX,ロレックス エアキング Ref.5500 Cal.1520 ヴィンテージ解説,エアキング/ロレックス,0.31,2
https://m.firekids.jp/00/3407/,【ヴィンテージ時計】新社会人におすすめの国産時計ブランド３選,38,447_article_japanese_brands,THEME,世界に愛される日本の腕時計ブランド5選｜ヴィンテージで知る国産時計の魅力,ブランド/ヴィンテージ,0.3,2
