優先度,KW,月間表示回数,現在クリック,現在CTR,現在順位,出稿理由
C,タグホイヤー ヴィンテージ,126,7,5.56%,11.39,自然順位低/モデル指名
C,61グランドセイコー,123,10,8.13%,2.19,モデル指名
C,ジャガールクルト レベルソ,121,6,4.96%,3.65,モデル指名
C,グランドセイコー 44gs アンティーク,115,7,6.09%,5.91,モデル指名
C,セイコー5スポーツ ヴィンテージ,113,7,6.19%,5.29,モデル指名
C,セイコー 5 アンティーク,112,10,8.93%,4.99,モデル指名
C,グランドセイコー ファーストモデル,111,8,7.21%,4.02,モデル指名
C,セイコーアンティーク時計,110,13,11.82%,5.41,モデル指名
C,キングセイコー 56ks,110,9,8.18%,4.83,モデル指名
C,チューダー レンジャー ヴィンテージ,109,28,25.69%,1.28,モデル指名
C,アンティーク セイコー,108,7,6.48%,6.09,モデル指名
C,オメガシーマスターヴィンテージ,107,6,5.61%,5.49,モデル指名
C,オメガ シーマスター 年代別,104,6,5.77%,7.1,モデル指名
C,キングセイコー 56 評価,102,19,18.63%,1.06,モデル指名
C,56gs グランドセイコー,101,27,26.73%,1.67,モデル指名
C,56グランドセイコー,100,14,14.0%,2.3,モデル指名
C,カルティエ サントス 傷つきやすい,100,11,11.0%,2.16,モデル指名
C,グランドセイコーセカンド,97,11,11.34%,6.07,モデル指名
C,ヴィンテージ ロンジン,97,6,6.19%,9.25,自然順位低/モデル指名
C,seiko ヴィンテージ メンズ,96,10,10.42%,4.73,モデル指名
C,ロレックス デイトジャスト 革ベルト,95,12,12.63%,1.55,モデル指名
C,57gs グランドセイコー,94,28,29.79%,1.07,モデル指名
C,ビンテージ グランドセイコー,91,6,6.59%,8.75,自然順位低/モデル指名
C,カルティエ パリ 安い,89,11,12.36%,5.07,価格指定意図
C,シチズン キャリバー 比較,88,12,13.64%,6.9,購入意図あり
C,メンズ セイコー 腕時計 昭和レトロ,88,9,10.23%,3.95,購入意図あり
C,61gs グランドセイコー,87,13,14.94%,1.62,モデル指名
C,オメガ シーマスター プレボンド,87,12,13.79%,1.9,モデル指名
C,ロレックス デイデイト 革ベルト,85,11,12.94%,1.71,モデル指名
C,セイコー5 アンティーク,83,12,14.46%,3.78,モデル指名
C,グランドセイコー 57gs,82,17,20.73%,1.05,モデル指名
C,iwc ヴィンテージ パイロット,80,14,17.5%,5.8,モデル指名
C,iwc cal.89,80,7,8.75%,7.78,モデル指名
C,シチズン ツノクロノ アンティーク,74,10,13.51%,2.23,モデル指名
C,seikoアンティーク腕時計,74,6,8.11%,5.32,モデル指名
C,ボームアンドメルシエ 評判,70,8,11.43%,3.26,購入意図あり
C,ロレックス レディース 革ベルト,69,10,14.49%,3.8,購入意図あり
C,ロレックス ドレスウォッチ メンズ,68,12,17.65%,2.32,購入意図あり
C,キングセイコー 人気モデル,68,9,13.24%,2.4,比較検討意図/モデル指名
C,グランドセイコー 1st,68,8,11.76%,4.19,モデル指名
C,ロレックス 革ベルト レディース,66,6,9.09%,2.95,購入意図あり
C,カルティエ 安い国,65,6,9.23%,3.75,価格指定意図
C,オメガ スピードマスター 125,64,8,12.5%,2.06,モデル指名
C,ロレックス エクスプローラー ビンテージ,59,8,13.56%,6.56,モデル指名
C,オメガスピードマスター125,55,6,10.91%,2.18,モデル指名
C,キングセイコー アンティーク おすすめ,50,7,14.0%,1.9,比較検討意図/モデル指名
S,ロレックス デイトジャスト,52840,12,0.02%,10.55,表示回数大/自然順位低/モデル指名
S,ロレックス人気ランキング,2603,36,1.38%,9.32,自然順位低/比較検討意図
S,ロレックス 人気ランキング,2546,42,1.65%,9.44,自然順位低/比較検討意図
S,ロレックス 人気モデル,2303,16,0.69%,8.4,自然順位低/比較検討意図
S,ロレックス 人気,1299,10,0.77%,12.02,自然順位低/比較検討意図
S,ロレックス エアキング 人気ない,1015,9,0.89%,2.82,比較検討意図
S,グランドセイコー 中古 10万,539,49,9.09%,5.7,価格指定意図/モデル指名
S,オメガ 時計 メンズ 10万,317,10,3.15%,11.45,自然順位低/価格指定意図
S,グランドセイコー 10万円台,289,15,5.19%,9.42,自然順位低/価格指定意図/モデル指名
S,カルティエ どこの国が安い,273,10,3.66%,10.99,自然順位低/価格指定意図
S,ロレックス 革ベルト 正規品 価格,201,6,2.99%,8.96,自然順位低/価格指定意図
